loan_number,cust_number,loan_category,loan_condition,principal_amount,loan_rate,duration_months,installment_amount,commencement_date,initial_credit_score,collateral_value,purpose_of_loan
5371,9236745,Auto,Active,58154.73,0.0667,60,1142.5,2021-07-13,651,69785.68,Education
2004,2938572,Auto,Defaulted,36375.25,0.051,36,1091.83,2022-07-29,759,43650.3,Debt Consolidation
1558,3754135,Mortgage,Active,287093.35,0.0546,180,2339.7,2020-03-02,632,344512.02,Debt Consolidation
8572,1506595,Auto,Defaulted,32405.31,0.0563,60,620.93,2022-10-05,772,38886.37,Debt Consolidation
3672,2772564,Mortgage,Paid,538942.35,0.0366,360,2468.48,2020-07-11,753,646730.82,Home Purchase
3084,1115700,Auto,Active,46039.2,0.0458,60,859.99,2020-07-16,626,55247.04,Auto Purchase
1576,1155375,Auto,Defaulted,64009.09,0.0665,60,1256.91,2021-06-13,658,76810.91,Debt Consolidation
2789,7243355,Auto,Paid,73330.22,0.0443,36,2179.06,2022-01-20,840,87996.26,Education
2699,4119667,Mortgage,Paid,136104.48,0.0487,360,719.86,2023-07-26,653,163325.38,Education
8815,7185047,Mortgage,Defaulted,850466.13,0.0482,180,6645.96,2021-11-19,684,1020559.36,Business Expansion
5540,2139083,Auto,Paid,19097.72,0.0639,48,451.93,2021-06-21,800,22917.26,Business Expansion
2369,9858493,Mortgage,Paid,447539.36,0.0422,180,3359.95,2021-02-08,609,537047.23,Home Purchase
8285,7126866,Personal,Active,11683.35,0.1253,36,391.02,2023-01-12,800,14020.02,Business Expansion
7716,2310323,Mortgage,Active,417787.87,0.0507,180,3319.09,2021-03-12,661,501345.44,Debt Consolidation
1341,9354230,Auto,Active,54288.63,0.0519,36,1631.71,2020-01-28,842,65146.36,Home Purchase
2280,5445932,Mortgage,Active,102361.11,0.0415,360,497.58,2021-05-07,731,122833.33,Auto Purchase
2310,3153001,Personal,Active,13472.29,0.124,24,636.71,2023-06-05,616,16166.75,Home Purchase
4959,2464542,Mortgage,Paid,490216.1,0.0412,360,2374.41,2022-04-05,629,588259.32,Debt Consolidation
7822,5755086,Auto,Active,63501.33,0.0513,72,1026.52,2024-05-06,744,76201.6,Auto Purchase
2443,3899138,Mortgage,Defaulted,673342.74,0.0584,360,3968.03,2024-06-11,690,808011.29,Debt Consolidation
5965,3769290,Auto,Paid,57957.71,0.0785,48,1410.84,2022-04-23,642,69549.25,Business Expansion
3384,3270718,Personal,Paid,18855.45,0.0887,24,860.28,2022-10-31,784,22626.54,Home Purchase
6689,3262450,Auto,Active,50706.11,0.0689,48,1211.63,2022-01-23,631,60847.33,Business Expansion
2349,2590346,Auto,Defaulted,62870.96,0.073,60,1253.84,2024-05-19,670,75445.15,Debt Consolidation
8367,1954993,Mortgage,Active,638353.9,0.0447,180,4873.58,2020-07-16,608,766024.68,Home Purchase
6088,8049388,Mortgage,Active,465306.79,0.0475,360,2427.26,2021-12-27,766,558368.15,Home Purchase
2353,5383420,Personal,Defaulted,35602.08,0.1102,36,1165.9,2020-12-28,674,42722.5,Education
9759,9114383,Personal,Defaulted,12190.29,0.1121,60,266.32,2021-08-30,604,14628.35,Auto Purchase
3935,4279141,Personal,Paid,33747.85,0.1218,48,891.7,2023-06-19,627,40497.42,Auto Purchase
2556,4343727,Mortgage,Paid,481297.33,0.0428,180,3628.01,2022-11-01,776,577556.8,Education
5797,8587034,Auto,Paid,62604.66,0.0484,48,1437.21,2022-05-18,614,75125.59,Home Purchase
2739,9699199,Auto,Active,19028.79,0.0698,36,587.38,2020-06-13,801,22834.55,Business Expansion
3756,7258209,Auto,Active,25711.55,0.0796,72,450.3,2022-11-05,827,30853.86,Education
1006,5351239,Personal,Paid,23469.02,0.097,48,591.86,2021-03-31,698,28162.82,Business Expansion
8473,8133628,Auto,Active,22819.12,0.0599,48,535.8,2024-03-18,731,27382.94,Business Expansion
5741,8821555,Auto,Paid,63947.88,0.0655,36,1961.39,2023-01-04,717,76737.46,Home Purchase
9932,1532193,Auto,Active,36525.98,0.0642,60,713.3,2020-04-24,780,43831.18,Debt Consolidation
8219,5221012,Personal,Active,43746.69,0.1245,36,1462.44,2020-04-28,600,52496.03,Business Expansion
5806,5492447,Auto,Paid,64795.0,0.0711,60,1286.38,2022-04-27,807,77754.0,Education
6260,1410547,Personal,Paid,37147.17,0.1107,36,1217.38,2022-12-09,615,44576.6,Debt Consolidation
1797,6715899,Mortgage,Active,948462.21,0.0487,180,7436.31,2023-05-19,752,1138154.65,Home Purchase
2163,4856748,Auto,Paid,43882.66,0.0448,48,1000.28,2024-08-02,764,52659.19,Education
9694,5830528,Mortgage,Active,148923.01,0.0424,360,731.74,2022-11-04,681,178707.61,Business Expansion
3003,6921373,Personal,Paid,29811.75,0.0843,24,1354.16,2024-03-20,682,35774.1,Business Expansion
7873,6021277,Mortgage,Active,748442.95,0.0418,180,5603.9,2021-07-15,736,898131.54,Education
2470,7205060,Personal,Paid,27464.27,0.092,48,686.06,2020-12-14,689,32957.12,Auto Purchase
5815,4040891,Mortgage,Defaulted,912232.87,0.0339,180,6472.23,2023-08-10,711,1094679.44,Auto Purchase
1897,2094860,Mortgage,Paid,323617.24,0.0481,180,2527.23,2024-04-16,672,388340.69,Business Expansion
1663,5686341,Personal,Active,7807.59,0.1087,36,255.13,2021-07-01,658,9369.11,Home Purchase
3792,8900244,Personal,Defaulted,49297.17,0.1488,60,1169.67,2020-10-13,766,59156.6,Education
2431,3507216,Personal,Active,9840.26,0.1187,48,258.5,2021-12-17,612,11808.31,Home Purchase
4460,1802169,Auto,Active,45050.97,0.0497,36,1349.61,2021-05-23,606,54061.16,Debt Consolidation
2908,5487286,Mortgage,Paid,913860.05,0.0522,360,5029.4,2023-06-09,700,1096632.06,Auto Purchase
2586,2022099,Auto,Defaulted,59759.43,0.0493,60,1125.82,2021-07-21,670,71711.32,Auto Purchase
3685,3837125,Personal,Defaulted,46030.42,0.1421,24,2214.62,2024-02-12,621,55236.5,Education
3583,2171745,Auto,Active,62543.3,0.0524,36,1881.23,2021-12-16,609,75051.96,Debt Consolidation
6417,6825024,Mortgage,Active,189889.65,0.0548,360,1075.79,2022-08-13,655,227867.58,Education
5229,3554106,Personal,Defaulted,23937.44,0.0968,24,1101.06,2022-09-04,847,28724.93,Auto Purchase
8074,9354870,Personal,Paid,1297.97,0.0852,60,26.64,2020-04-28,819,1557.56,Education
4473,9477838,Auto,Defaulted,22040.56,0.0624,36,672.92,2023-01-14,797,26448.67,Auto Purchase
5844,3721507,Auto,Paid,19141.32,0.0486,60,359.99,2023-07-21,625,22969.58,Auto Purchase
6889,4640844,Personal,Defaulted,8445.99,0.1335,36,286.0,2024-01-14,795,10135.19,Business Expansion
3379,9914771,Personal,Defaulted,26727.45,0.101,60,569.2,2020-06-03,616,32072.94,Home Purchase
2005,1877937,Personal,Paid,33664.28,0.132,48,906.47,2024-04-27,644,40397.14,Home Purchase
6358,2506183,Personal,Defaulted,1118.22,0.1134,36,36.79,2022-07-23,639,1341.86,Debt Consolidation
9340,8996168,Mortgage,Paid,325814.87,0.0303,360,1378.93,2021-09-01,761,390977.84,Auto Purchase
3660,5210656,Mortgage,Defaulted,590639.57,0.0342,180,4199.21,2024-10-25,725,708767.48,Auto Purchase
4267,4388838,Mortgage,Paid,372962.38,0.0542,360,2098.96,2021-07-31,708,447554.86,Home Purchase
1217,2306334,Personal,Active,49897.53,0.1029,36,1616.86,2023-01-08,665,59877.04,Home Purchase
9404,7635763,Mortgage,Defaulted,488810.96,0.0355,360,2208.65,2021-10-28,625,586573.15,Auto Purchase
2985,3149723,Personal,Paid,7470.33,0.142,12,671.44,2023-07-31,608,8964.4,Debt Consolidation
1770,1302639,Personal,Paid,21198.47,0.1426,48,582.05,2023-01-26,704,25438.16,Education
6200,4614427,Mortgage,Defaulted,160481.89,0.0338,180,1137.82,2021-08-14,705,192578.27,Auto Purchase
7588,9865441,Personal,Active,6201.92,0.1165,36,204.96,2021-01-14,818,7442.3,Auto Purchase
2202,4232570,Auto,Active,39631.17,0.0433,72,626.01,2020-06-11,785,47557.4,Education
3731,1045936,Personal,Paid,47251.4,0.1112,60,1030.19,2021-12-03,727,56701.68,Education
3014,5921625,Auto,Paid,69125.6,0.0623,48,1630.72,2021-05-19,714,82950.72,Home Purchase
8164,4017046,Personal,Active,36403.17,0.0932,60,761.34,2024-09-01,823,43683.8,Auto Purchase
4304,9079485,Mortgage,Paid,761678.85,0.0307,180,5285.7,2020-10-13,784,914014.62,Auto Purchase
7190,7979512,Auto,Paid,18678.53,0.0567,36,565.45,2024-05-31,634,22414.24,Home Purchase
1069,4156740,Mortgage,Defaulted,803498.39,0.0322,360,3483.66,2021-06-12,657,964198.07,Debt Consolidation
5241,9854154,Auto,Defaulted,16250.31,0.0643,60,317.42,2023-11-13,690,19500.37,Auto Purchase
3617,3145923,Mortgage,Active,616408.82,0.0375,180,4482.66,2021-03-06,784,739690.58,Debt Consolidation
8897,5793488,Auto,Active,31892.44,0.0739,48,769.49,2020-10-29,651,38270.93,Auto Purchase
5152,3483840,Auto,Defaulted,19281.65,0.0524,36,579.97,2020-11-15,715,23137.98,Debt Consolidation
1492,2067598,Personal,Defaulted,21167.69,0.1329,24,1009.24,2022-05-10,723,25401.23,Auto Purchase
3397,3790398,Mortgage,Active,290788.79,0.0509,360,1577.05,2024-09-23,653,348946.55,Home Purchase
6289,9336813,Personal,Defaulted,18314.72,0.0914,12,1602.84,2023-06-26,843,21977.66,Debt Consolidation
4372,7117810,Auto,Defaulted,19257.39,0.0464,48,440.35,2021-01-20,785,23108.87,Education
2575,7301661,Personal,Active,44173.83,0.1393,60,1026.25,2024-04-05,770,53008.6,Home Purchase
2823,3255739,Personal,Active,2766.66,0.0975,12,242.91,2023-07-22,711,3319.99,Debt Consolidation
5815,1183063,Personal,Active,7045.26,0.0862,48,174.05,2023-06-16,637,8454.31,Debt Consolidation
4442,3891956,Personal,Defaulted,16868.99,0.0863,60,347.15,2020-04-11,788,20242.79,Business Expansion
5526,3341109,Mortgage,Defaulted,827376.65,0.0499,180,6538.53,2021-03-09,750,992851.98,Education
9558,1946824,Mortgage,Defaulted,638647.3,0.0573,180,5296.55,2020-03-26,820,766376.76,Debt Consolidation
4144,4769933,Mortgage,Active,298540.63,0.0448,360,1509.12,2022-11-15,765,358248.76,Debt Consolidation
4816,7340306,Personal,Active,14386.16,0.0848,36,454.0,2022-06-21,701,17263.39,Business Expansion
3826,9009561,Personal,Paid,29865.19,0.0957,48,751.31,2023-07-09,792,35838.23,Education
2266,7643674,Personal,Active,35056.21,0.1261,36,1174.61,2023-11-19,602,42067.45,Business Expansion
9680,8750156,Personal,Paid,38898.69,0.1206,60,866.46,2020-03-23,662,46678.43,Home Purchase
3290,9249370,Personal,Active,22377.45,0.1102,48,578.57,2022-01-24,794,26852.94,Debt Consolidation
3379,1670985,Mortgage,Active,833711.76,0.0447,360,4209.45,2022-02-16,686,1000454.11,Education
7494,3270607,Auto,Active,57736.2,0.0548,36,1742.88,2023-08-16,828,69283.44,Debt Consolidation
2284,5865555,Mortgage,Defaulted,248061.52,0.0387,360,1165.77,2023-04-21,623,297673.82,Business Expansion
7746,7844947,Mortgage,Active,942942.78,0.0445,360,4749.78,2024-08-16,642,1131531.34,Education
6617,6617696,Personal,Active,22186.09,0.1345,24,1059.46,2021-12-10,831,26623.31,Business Expansion
8655,2376674,Personal,Paid,11701.44,0.1357,24,559.45,2020-04-19,764,14041.73,Debt Consolidation
2693,4407322,Mortgage,Active,983456.62,0.0466,180,7604.05,2022-03-10,714,1180147.94,Education
6986,8823741,Mortgage,Defaulted,819668.57,0.0353,360,3694.42,2024-08-29,651,983602.28,Education
1976,3645363,Mortgage,Defaulted,453970.17,0.0484,180,3552.24,2020-02-02,657,544764.2,Business Expansion
4031,6654257,Mortgage,Active,299535.85,0.0558,360,1715.8,2021-09-29,634,359443.02,Home Purchase
6501,8484195,Mortgage,Active,475978.9,0.0455,360,2425.88,2020-09-29,679,571174.68,Home Purchase
3924,8211066,Personal,Defaulted,17016.24,0.0963,48,428.56,2023-11-29,664,20419.49,Debt Consolidation
5889,2254225,Personal,Active,38593.21,0.1164,60,851.48,2020-04-09,817,46311.85,Auto Purchase
2784,2904067,Mortgage,Defaulted,589405.17,0.046,360,3021.55,2024-02-28,637,707286.2,Education
9891,5654909,Personal,Paid,26025.94,0.1479,36,899.52,2020-08-22,786,31231.13,Auto Purchase
4713,7769212,Auto,Defaulted,51821.29,0.0678,60,1020.75,2022-10-31,622,62185.55,Debt Consolidation
2384,3057504,Auto,Active,28796.47,0.0737,60,575.24,2020-10-26,652,34555.76,Home Purchase
1543,7864399,Mortgage,Defaulted,438657.11,0.0559,180,3605.18,2023-10-22,632,526388.53,Education
2907,1476305,Personal,Defaulted,10606.63,0.0997,60,225.2,2023-08-19,689,12727.96,Home Purchase
4280,6413691,Auto,Paid,63067.34,0.0755,72,1091.97,2024-11-09,665,75680.81,Business Expansion
8607,8758960,Auto,Paid,21732.04,0.0602,36,661.33,2020-07-28,644,26078.45,Education
3334,4384691,Personal,Paid,46360.18,0.0808,24,2098.44,2024-06-13,689,55632.22,Business Expansion
4274,4240681,Mortgage,Active,126383.9,0.0361,180,910.34,2024-05-24,602,151660.68,Business Expansion
9107,8913125,Personal,Paid,26860.11,0.1007,24,1240.33,2024-03-18,665,32232.13,Auto Purchase
2452,9261967,Auto,Defaulted,59875.38,0.0605,72,993.72,2022-10-15,690,71850.46,Auto Purchase
9992,5976184,Personal,Paid,46249.43,0.1314,48,1243.97,2023-04-15,718,55499.32,Education
9326,7799441,Auto,Defaulted,18976.9,0.0554,36,573.37,2023-06-27,688,22772.28,Education
7476,3584650,Auto,Defaulted,53145.02,0.0594,72,879.26,2021-06-07,655,63774.02,Business Expansion
8174,3177154,Auto,Defaulted,71537.54,0.0493,36,2141.8,2023-07-09,666,85845.05,Debt Consolidation
3578,7215633,Auto,Active,24625.3,0.043,36,730.33,2022-10-13,683,29550.36,Education
3594,6187531,Mortgage,Defaulted,424285.98,0.0425,180,3191.81,2021-03-09,631,509143.18,Home Purchase
5030,7318365,Personal,Active,35168.61,0.1019,60,750.52,2023-05-17,626,42202.33,Home Purchase
1141,8661818,Auto,Active,25028.54,0.0467,36,746.43,2022-02-24,712,30034.25,Debt Consolidation
9572,2686119,Mortgage,Paid,684782.53,0.0501,360,3680.25,2022-08-07,678,821739.04,Debt Consolidation
2750,7041144,Personal,Active,2375.73,0.1461,60,56.03,2022-06-09,727,2850.88,Debt Consolidation
3621,8436719,Mortgage,Active,807669.37,0.0476,360,4218.06,2020-07-17,707,969203.24,Business Expansion
2339,2418796,Auto,Active,49363.89,0.0745,60,987.98,2024-07-07,689,59236.67,Debt Consolidation
2048,2061514,Mortgage,Defaulted,570947.68,0.0309,360,2434.94,2020-05-31,729,685137.22,Debt Consolidation
3255,1221022,Personal,Active,14445.91,0.1476,12,1302.23,2023-08-27,638,17335.09,Auto Purchase
5552,7971200,Personal,Paid,26806.91,0.0933,60,560.77,2023-05-16,714,32168.29,Home Purchase
1349,8544846,Personal,Paid,8363.58,0.0838,48,205.67,2021-12-03,783,10036.3,Debt Consolidation
3965,9176609,Auto,Active,69966.24,0.0714,60,1390.04,2020-07-25,751,83959.49,Business Expansion
6510,2807197,Personal,Defaulted,32906.68,0.1334,12,2944.39,2022-11-26,829,39488.02,Business Expansion
4437,7136493,Auto,Defaulted,35089.24,0.0713,60,696.96,2021-09-21,679,42107.09,Home Purchase
1235,1731276,Mortgage,Paid,376496.87,0.0369,180,2726.78,2024-10-15,703,451796.24,Auto Purchase
2071,3523293,Mortgage,Paid,897814.7,0.0412,360,4348.65,2021-10-28,725,1077377.64,Debt Consolidation
3155,8036005,Auto,Paid,39677.69,0.0505,60,749.68,2021-12-08,827,47613.23,Home Purchase
7288,3732654,Auto,Defaulted,18126.32,0.0739,72,312.44,2024-04-30,673,21751.58,Business Expansion
6786,1350120,Mortgage,Defaulted,944678.68,0.0316,360,4064.78,2021-02-06,716,1133614.42,Auto Purchase
3621,9863771,Auto,Defaulted,26646.01,0.0598,72,441.35,2024-06-16,728,31975.21,Home Purchase
9653,8855729,Mortgage,Defaulted,144773.24,0.0513,360,788.72,2020-12-08,627,173727.89,Education
8556,3785380,Mortgage,Paid,221441.56,0.0404,180,1642.42,2023-09-07,775,265729.87,Auto Purchase
8956,2321051,Auto,Paid,20985.13,0.0576,36,636.13,2023-07-22,750,25182.16,Business Expansion
8043,5052611,Personal,Active,10487.07,0.14,60,244.02,2024-03-16,680,12584.48,Debt Consolidation
2446,1585187,Personal,Active,47573.24,0.0867,24,2166.18,2020-11-19,817,57087.89,Education
5299,2511450,Mortgage,Defaulted,875159.04,0.0565,180,7220.63,2024-01-27,696,1050190.85,Auto Purchase
2132,4458774,Auto,Active,57129.28,0.0747,36,1776.29,2021-07-06,757,68555.14,Education
9647,3008127,Mortgage,Defaulted,323796.71,0.0373,360,1495.88,2020-06-01,831,388556.05,Home Purchase
1137,7420553,Auto,Active,60167.58,0.0462,36,1793.03,2021-07-06,825,72201.1,Home Purchase
4719,2425656,Personal,Defaulted,40579.96,0.0994,36,1308.26,2020-10-14,642,48695.95,Debt Consolidation
2459,5911797,Personal,Paid,25015.46,0.096,24,1149.72,2023-05-03,651,30018.55,Auto Purchase
6906,8788156,Mortgage,Paid,114402.2,0.0536,360,639.55,2023-11-06,633,137282.64,Business Expansion
2829,8168469,Auto,Active,37708.23,0.0532,60,717.14,2022-10-25,658,45249.88,Home Purchase
2303,9563443,Auto,Paid,68351.58,0.0505,48,1575.64,2022-08-11,659,82021.9,Debt Consolidation
6656,9059074,Personal,Active,6346.23,0.1333,60,145.47,2021-09-18,619,7615.48,Business Expansion
4469,7293567,Mortgage,Defaulted,686542.72,0.0324,360,2984.11,2021-12-24,665,823851.26,Debt Consolidation
2107,6831734,Mortgage,Defaulted,683742.05,0.0343,180,4864.48,2024-05-29,613,820490.46,Business Expansion
8233,4019332,Auto,Paid,60953.44,0.0588,72,1006.73,2023-04-08,691,73144.13,Education
4659,6248621,Auto,Paid,38799.21,0.0793,48,945.93,2023-08-13,787,46559.05,Education
2803,9749627,Auto,Paid,66036.84,0.0541,60,1258.64,2022-02-21,767,79244.21,Education
5195,5040453,Personal,Active,5437.58,0.0809,60,110.49,2021-11-09,767,6525.1,Debt Consolidation
5293,8063338,Auto,Paid,30551.37,0.0656,48,725.37,2022-09-11,846,36661.64,Home Purchase
7822,1612357,Personal,Active,21341.91,0.1329,48,575.63,2023-05-11,648,25610.29,Debt Consolidation
9617,9930937,Auto,Paid,72267.29,0.0585,72,1192.57,2022-01-22,606,86720.75,Home Purchase
4731,6986989,Mortgage,Active,423394.7,0.0322,180,2968.89,2023-07-12,654,508073.64,Business Expansion
4810,9559606,Personal,Defaulted,48271.36,0.1131,60,1057.01,2024-03-05,710,57925.63,Auto Purchase
1349,6390302,Personal,Active,23968.36,0.0999,36,773.28,2023-05-21,847,28762.03,Auto Purchase
6942,6727967,Personal,Defaulted,33982.03,0.1139,60,745.48,2022-01-11,672,40778.44,Business Expansion
5988,1361561,Mortgage,Paid,820149.45,0.0483,180,6413.29,2021-07-27,610,984179.34,Business Expansion
5810,9546668,Auto,Active,30954.76,0.0497,36,927.33,2024-05-29,773,37145.71,Home Purchase
9181,8798859,Mortgage,Defaulted,462563.31,0.0561,360,2658.4,2020-03-03,675,555075.97,Business Expansion
2877,4050599,Personal,Active,39624.3,0.0842,48,975.18,2024-02-19,771,47549.16,Education
3638,6895665,Personal,Active,32158.17,0.1258,24,1522.52,2022-04-10,646,38589.8,Education
6927,8929095,Personal,Active,13485.71,0.0994,48,341.64,2024-11-01,783,16182.85,Auto Purchase
4434,5096194,Auto,Defaulted,66979.03,0.0531,48,1551.9,2024-10-24,717,80374.84,Business Expansion
4482,8696504,Auto,Defaulted,32030.27,0.051,48,739.09,2021-06-23,825,38436.32,Debt Consolidation
7924,1329238,Auto,Defaulted,26035.77,0.0636,48,615.76,2023-11-08,660,31242.92,Home Purchase
9527,3857661,Mortgage,Active,820244.82,0.0381,360,3826.66,2022-10-27,828,984293.78,Business Expansion
4730,9078479,Mortgage,Defaulted,208636.36,0.039,180,1532.82,2021-01-08,796,250363.63,Education
1906,3973967,Personal,Defaulted,47921.28,0.0974,24,2205.58,2022-10-03,799,57505.54,Auto Purchase
1509,6408879,Mortgage,Defaulted,916668.8,0.0392,180,6743.8,2022-07-18,603,1100002.56,Home Purchase
7869,3997352,Personal,Paid,43283.36,0.0932,48,1083.7,2019-11-20,803,51940.03,Home Purchase
7303,7488177,Personal,Defaulted,3598.82,0.0925,36,114.86,2024-05-10,842,4318.58,Auto Purchase
8847,9189396,Personal,Paid,24688.99,0.1375,24,1182.48,2023-04-18,695,29626.79,Education
2574,4104256,Auto,Paid,57883.38,0.0424,60,1072.29,2023-03-06,644,69460.06,Home Purchase
1715,1519061,Auto,Paid,68530.36,0.0704,60,1358.28,2022-08-28,833,82236.43,Auto Purchase
6536,4035882,Personal,Defaulted,47288.35,0.1193,12,4199.96,2023-10-22,848,56746.02,Education
8979,5277457,Personal,Active,42219.98,0.1441,36,1451.4,2020-06-13,815,50663.98,Business Expansion
5372,4291239,Auto,Active,51638.31,0.0496,36,1546.72,2022-02-06,714,61965.97,Auto Purchase
6111,8975715,Personal,Paid,45942.33,0.0935,24,2106.25,2022-02-17,768,55130.8,Debt Consolidation
6307,7887795,Personal,Paid,7746.77,0.1435,24,373.23,2019-12-03,767,9296.12,Debt Consolidation
4972,6701309,Auto,Defaulted,27491.23,0.053,72,446.58,2021-07-21,609,32989.48,Business Expansion
9292,2227380,Auto,Defaulted,51529.56,0.0699,72,878.28,2020-08-08,828,61835.47,Auto Purchase
1608,8903528,Auto,Active,21303.45,0.0637,48,503.93,2021-01-07,778,25564.14,Debt Consolidation
1686,3483669,Auto,Paid,39443.19,0.0762,72,684.27,2024-10-25,826,47331.83,Home Purchase
2890,2231507,Personal,Paid,46157.87,0.1351,60,1062.32,2021-03-07,797,55389.44,Education
7116,5552152,Personal,Active,42938.62,0.0833,36,1352.09,2022-01-22,815,51526.34,Business Expansion
6585,2163630,Personal,Paid,36332.43,0.1466,12,3273.48,2023-05-11,824,43598.92,Education
9966,2806943,Personal,Active,28999.21,0.0906,12,2536.83,2020-01-17,703,34799.05,Business Expansion
9255,9216220,Auto,Paid,48711.64,0.0636,72,815.6,2020-07-10,848,58453.97,Debt Consolidation
2378,2141266,Personal,Defaulted,13115.21,0.1055,48,336.11,2022-04-17,826,15738.25,Auto Purchase
9191,8559567,Mortgage,Active,362673.04,0.0529,360,2011.69,2022-04-04,625,435207.65,Auto Purchase
4486,6975266,Personal,Paid,13885.36,0.0882,36,440.39,2021-10-19,622,16662.43,Business Expansion
6382,9391495,Mortgage,Defaulted,603697.62,0.039,180,4435.29,2020-09-07,721,724437.14,Home Purchase
5170,9457282,Auto,Defaulted,35551.95,0.0408,36,1050.9,2023-08-26,745,42662.34,Business Expansion
5106,3874940,Auto,Paid,26737.84,0.0691,36,824.49,2024-09-01,727,32085.41,Business Expansion
1805,1913090,Personal,Active,20294.48,0.1002,12,1784.4,2024-08-26,698,24353.38,Auto Purchase
6504,9441248,Auto,Defaulted,69112.96,0.0597,60,1335.18,2021-05-10,756,82935.55,Debt Consolidation
4025,7908205,Personal,Active,6311.34,0.1446,12,568.04,2021-11-25,779,7573.61,Business Expansion
6735,8711175,Mortgage,Defaulted,218699.6,0.0376,360,1014.07,2022-05-01,755,262439.52,Business Expansion
5348,2184456,Auto,Paid,29272.71,0.0666,36,899.31,2023-12-03,805,35127.25,Home Purchase
6221,8529542,Personal,Defaulted,38566.26,0.113,24,1802.87,2023-10-07,676,46279.51,Auto Purchase
2482,8408190,Personal,Paid,33306.14,0.131,60,759.52,2022-07-03,738,39967.37,Home Purchase
3184,7292132,Auto,Active,46937.81,0.0434,36,1392.9,2024-09-21,797,56325.37,Auto Purchase
1452,8292346,Auto,Defaulted,67642.13,0.069,48,1616.64,2020-05-05,757,81170.56,Business Expansion
8855,1953550,Personal,Paid,23805.07,0.0813,48,582.61,2020-09-10,658,28566.08,Business Expansion
9321,2380310,Auto,Defaulted,17811.01,0.0526,72,289.0,2022-11-24,685,21373.21,Home Purchase
5872,7701976,Personal,Defaulted,37192.72,0.1315,24,1770.83,2020-07-25,604,44631.26,Home Purchase
8441,5224469,Personal,Active,49583.98,0.1039,24,2296.98,2022-12-26,758,59500.78,Home Purchase
9056,8317744,Mortgage,Defaulted,755640.52,0.0435,180,5722.84,2024-09-08,621,906768.62,Education
4327,2297946,Personal,Paid,8427.75,0.1168,60,186.11,2023-11-21,762,10113.3,Debt Consolidation
5666,6524789,Mortgage,Defaulted,396503.89,0.0431,360,1964.51,2022-02-14,731,475804.67,Education
1452,3814647,Mortgage,Active,771047.81,0.0482,360,4054.75,2023-02-26,655,925257.37,Debt Consolidation
1247,9979545,Mortgage,Defaulted,703119.06,0.0463,360,3617.12,2024-06-16,744,843742.87,Auto Purchase
8004,9289630,Auto,Paid,18053.27,0.0426,72,284.59,2023-05-27,848,21663.92,Debt Consolidation
1204,3845703,Auto,Defaulted,48337.98,0.0792,60,978.27,2022-04-30,829,58005.58,Education
1156,1864276,Personal,Defaulted,12450.97,0.0849,24,565.91,2022-02-11,713,14941.16,Education
3915,3319875,Personal,Paid,13859.17,0.1027,24,641.26,2020-01-02,623,16631.0,Debt Consolidation
6537,8494202,Personal,Paid,22762.51,0.1458,36,784.4,2020-02-27,774,27315.01,Business Expansion
9767,1783541,Auto,Active,39379.74,0.0627,48,929.72,2020-08-24,779,47255.69,Home Purchase
6154,4370808,Mortgage,Active,882780.29,0.0374,360,4083.29,2020-05-28,640,1059336.35,Business Expansion
2541,3194351,Mortgage,Defaulted,800125.84,0.0468,360,4140.14,2020-12-10,844,960151.01,Home Purchase
9820,5369627,Personal,Paid,19519.17,0.1083,48,502.87,2023-02-06,659,23423.0,Education
6818,1829921,Auto,Defaulted,46241.23,0.0559,48,1077.31,2021-02-27,717,55489.48,Home Purchase
9779,7080555,Mortgage,Active,671187.25,0.0403,180,4974.79,2021-03-02,810,805424.7,Auto Purchase
9836,2172956,Personal,Defaulted,22208.3,0.1306,12,1984.21,2022-01-08,610,26649.96,Education
3472,4093012,Personal,Paid,16867.3,0.1048,60,362.38,2021-11-16,752,20240.76,Debt Consolidation
2874,5910191,Mortgage,Active,768654.56,0.0393,180,5658.72,2021-11-18,807,922385.47,Home Purchase
4207,1588440,Auto,Active,39106.49,0.0708,72,668.23,2021-02-06,692,46927.79,Auto Purchase
7513,2721533,Mortgage,Defaulted,788132.59,0.0599,180,6646.45,2022-06-14,675,945759.11,Education
4361,1187798,Mortgage,Active,262589.41,0.0599,360,1572.67,2024-11-06,715,315107.29,Business Expansion
4138,6373547,Auto,Paid,65038.71,0.0574,60,1249.53,2021-02-25,725,78046.45,Auto Purchase
1598,3594682,Auto,Paid,51831.71,0.0448,72,822.3,2021-04-03,734,62198.05,Education
5307,3023512,Mortgage,Paid,327995.17,0.0453,360,1667.76,2020-02-11,761,393594.2,Business Expansion
3015,4139771,Mortgage,Paid,572537.75,0.0595,360,3414.27,2021-02-09,600,687045.3,Debt Consolidation
8937,2875303,Mortgage,Defaulted,216140.76,0.0507,360,1169.55,2020-11-25,752,259368.91,Debt Consolidation
8757,1743264,Auto,Active,39977.3,0.0679,48,953.42,2020-09-30,666,47972.76,Auto Purchase
4369,1029199,Auto,Active,74966.45,0.0624,72,1250.92,2022-03-21,781,89959.74,Home Purchase
6770,4181556,Personal,Defaulted,20802.63,0.1152,12,1843.62,2020-06-19,701,24963.16,Education
5461,5515817,Auto,Defaulted,58339.92,0.0716,36,1805.64,2021-06-17,645,70007.9,Home Purchase
